JobId,Median of DurationInMin
00002f42-56ee-4540-93b7-89bcc765ccc6,1
00016c7e-0b4c-472a-a4d8-0c314bf7419f,51
00053c18-abbf-4cf0-8e28-dedf265ce339,4
000567e2-d2ce-4dfc-bdb9-4d424280fca7,1
000883f0-70d6-4620-8c57-071341845dbd,51
0008b4ed-8ac7-43f3-8fdc-1d308ff1cd33,51
000ce238-4447-432e-963b-886d5a34264e,212
000dd63c-152f-4d78-a931-ee9ae61b0fa3,3
000ea31e-b07a-453a-80d2-ef71ca2db5d1,1
000ee81a-5c76-4f5e-85f5-7b878f470e0b,185
000f20b3-730d-46c4-9fba-55f23544a3aa,3
0012cdcf-8f09-4bb2-a1ca-2eb01ce80959,1
00138f36-d2e0-4633-8af9-eb2d64a38508,1
00141c95-78d2-48d1-9081-c461ce549e48,31
00168444-8728-49c6-a89e-dcd3f38013ec,61
0016b4aa-d292-4165-8489-82d7ac28fea5,1
00177257-0c09-49e5-942d-56f12f624f21,1
001798d5-2d3d-465a-87fa-ba11c17051c9,1
0017a976-44f3-4f28-9532-3072e00fe96c,51
0018f6ec-5969-4d77-a4a6-bf18d677e923,1
001c4865-5767-4544-aeda-80a094ad60ca,6
001c7f72-4658-42ae-bdfe-183738638c27,3
001cd5ca-7411-443c-8b37-9e0bfdd0f3cf,6
001ede39-41e9-4824-b7c6-a057783f4bdd,1
001f74af-6f61-4b92-ac67-8e74562b6317,1
001f8f0d-9412-4a75-9d4f-708978d76186,2
00200c2a-7f45-4d32-96a8-04b3551bb99c,42
0020708a-4661-4e9d-ace7-3d8198b85528,46
0023bd90-b24f-4654-b800-d4ce166ef049,51
0024a4b5-f9cb-40e5-b3a6-3bd825b0289b,46
0026df07-37d8-4886-abc2-7812170cd65c,1
0028ebb8-2409-4bf3-b5a3-9a184fbb30cd,644
002b83e9-8d5b-4ba7-a3a1-25b9719bc3f3,6
003032fc-023a-4081-8c21-e940151fcd61,51
0034592d-3101-4786-9ca6-6fdeb00b00d5,638
00357c54-b9d9-4ec0-8aba-a2f64fe1c212,44
00365dd5-ab7f-4073-9273-03cf1589920e,51
003bbbf0-a41f-40a8-b0ee-48f6e4b78529,41
003c9323-e37f-4f49-8ad1-86414327137b,4
003ece24-8e94-4a4f-bd02-a449aab8a116,17
003fa82b-2db2-4557-a023-8f4465129f24,51
0044486d-bba5-4115-8503-a853bc04ab2d,9
00459839-c1db-471d-94eb-03afac55098a,1
0048b2fc-83af-40b4-80f9-a9085c7427a9,17
004a4eb1-e991-49db-bfc6-ec03f467d912,5
004a72d6-2dca-448f-9468-2bbda47a9d15,17
004c9ff4-26be-4dd2-8dc8-861796d59a83,51
004d3981-0ebd-40b7-806f-60885a986795,51
0051ca0a-d296-4bbd-93ee-0208ec8098c6,3
005350bf-b1a3-4e73-a4c9-98dd32c03602,51
0056a334-7440-44dc-9062-fd5900ac642e,1
00597a72-23cd-42c7-99b6-7096008fb5e2,51
005aca95-1dee-48d1-a2e0-996ea4a96fc9,17
005d582d-df7d-4758-b7c1-f6acf74389c7,1
0061d50c-42bb-4140-bf67-9bdafc8e5388,4
0062c9d5-04ae-4d89-b44c-aa8d1b74f766,1
00639de0-fab2-4397-b1e0-5a40bb9e8913,8
0063eab5-1fd3-476c-9c9f-68ffd9053631,184
0066ac33-a026-4f35-82e9-47be9e6150b5,12
0066d95f-c39d-4138-933f-61a626f13833,1
00676e40-fe67-4a5a-abe4-5bbee6986e1e,51
006775c3-7c43-453a-acd3-b31d37a5065e,2
0067996c-f9ec-449e-8a70-6fd8cc738cb5,116
00694e0c-466f-4b3c-ad8f-3bc333b7d301,45
00695068-0cd3-4232-9f07-a8887b62b73e,51
006ad46a-effd-4bc8-96e1-e93815120af1,51
006bcdc2-1e8f-4d50-bfb7-479b97c98315,51
006e5658-bd4e-4e10-b35d-b76540f3fa37,1
006eb468-ec79-4e21-85dc-6b60f12535ea,11
006f50d7-2d80-4479-9300-de42bd2cefa2,51
007261a8-00e7-4d66-9282-aab6ae093062,1
00741aaa-24c3-4fd5-b454-5de39f51c450,106
00748217-7b87-4c60-9ee9-449ae4cf34f0,303
007647e0-bdfb-425f-9cfd-eb4788512f71,28
00772019-ae5c-4bc5-9efe-2c65c2fde242,7
0078ca94-9195-47c2-b30e-161f079b8ad3,3
00792070-cd20-4167-9bf9-65d10fe103be,1
00799dc3-1b4d-4edb-8905-8f1eb7fe63fc,6
007ad1f8-69fd-45cf-b879-663a0f1fc20c,6
007cec4b-e790-42a7-8461-85795bf4bb9a,51
007e4ce2-99bf-4d1d-942f-9a9520939d5c,45
007fcc5d-65f4-4ae2-9354-1635678c1c73,74
0082f232-8a51-4c45-861a-f2cb6d3c4b74,2
00860a04-ad02-4807-9ab0-f1b84f7a1fab,1
00866032-27ed-4f9b-a995-7e7111ef632d,51
0086e192-420c-4adb-977b-3675a2f253f8,51
0087b45e-df17-485d-b88c-928379116b82,51
0087fafa-6b8e-46a4-8fe9-a42c580bbe34,1
008930ba-6bf7-430c-9df4-37f67607ee9c,5
008b5202-e443-4f26-9c35-c1fe44b10238,51
008ce10f-a715-454f-93ae-127785feee73,51
008e1005-4fb8-44ee-ba04-7881d90779c4,1
